Título,Puesto,Expertise,Empresa,Modalidad,Sector,Ubicación,Descripción,Servicios,Otro Idioma,EntornoTEC,Beneficios,Habilidades,Herramientas,Educación
data engineer sas,Data Engineer,Regular,,,,Cataluña,"Una empresa innovadora en el sector de datos busca un desarrollador SAS para unirse a su equipo en Barcelona. Este puesto ofrece la oportunidad de trabajar en proyectos estables y de larga duración, con un enfoque en el desarrollo de ETLs y el procesamiento de datos. Con un contrato indefinido y un entorno de trabajo híbrido, esta es una excelente oportunidad para quienes buscan estabilidad y crecimiento profesional. Si tienes experiencia en SAS y un deseo de contribuir a proyectos significativos, esta podría ser la oportunidad perfecta para ti.",[' S A S Base S A S Guide S A S Macros S Q L E T L Development Big Data B I Tools'],,SAS,,,,
apprentice pb cx data analyst,Data Analyst,Regular,,,Digital,Cataluña,"An innovative company is seeking a motivated individual to contribute to the Customer Experience community. This role offers a dynamic environment where you can engage in continuous improvement projects, focusing on process efficiency, communication, and digitalization. As part of a super team, you'll have the opportunity to learn, share ideas, and actively participate in transformation initiatives. With a strong emphasis on sustainability and inclusivity, this apprenticeship contract is a chance to grow in a supportive setting that values creativity and teamwork. Join us in shaping a better future through your contributions!","['Flexible work environment Opportunity for first work experience High-challenge environment Active member of transformation journey', ' Data Analytics Customer Experience Management Communication Skills Project Management Digitalization Tools Excel Power Bi S A P Knowledge Share Point', "" Bachelor's Degree or Equivalent"", ' Excel Power Bi M S Office S A P Share Point']",,,,,"Excel, Power Bi, Excel, Power Bi",Bachelor's Degree
machine learning engineer,Machine Learning Engineer,Regular,,,GenAI,Cataluña,"Join a forward-thinking company as a Machine Learning Engineer, where you'll build innovative Generative AI video services. This role offers a unique opportunity to shape a new team and work on impactful projects across multiple OLX services in Europe. You'll leverage your expertise in machine learning and cloud architectures while collaborating with diverse teams. Enjoy the flexibility of 100% remote work and a supportive environment that fosters growth and innovation. If you're passionate about technology and eager to make a difference, this is the perfect opportunity for you.","['Permanent contract Annual bonus up to 15%Health insurance Life insurance Mac Book Pro Training and conference budget Free access to Udemy courses100% remote work Possibility to work from office', ' Generative A I Large Language Models (L L Ms) Python Data Pipelines (Spark, Airflow) Machine Learning Frameworks (Scikit-Learn, Tensor Flow) Cloud Architectures (A W S) A/B Testing M L Ops Tools Kotlin Java']",,,remote work,Machine Learning,"Python, Scikit-Learn",
machine learning engineer,Machine Learning Engineer,Regular,,,,Cataluña,"Join a forward-thinking organization as a Machine Learning Engineer in Barcelona, where you will drive innovation through advanced ML systems. This role offers the chance to work with cutting-edge technologies like Azure and Databricks, while collaborating with talented professionals in a dynamic environment. You will design scalable ML solutions, ensure lifecycle monitoring with MLOps, and contribute to impactful projects that promote sustainability. With a flexible work culture that supports remote options and a focus on personal growth, this is an exciting opportunity to make your mark in the AI field. Embrace the challenge and help shape the future of technology!","['Flexible working hours Home office allowance program Health, Wellness, and Dental Benefits Access to online learning library Employee referral bonus policy Paid employee volunteer day Virtual and in-person team building events Co-working space with various services', ' Machine Learning Python M L Ops Azure Databricks Linux Data Management Agile Methodologies', ' Degree in Computer Science Degree in Mathematics Degree in Engineering', ' Azure Data Factory Azure Bicep C I/C D tools Docker']",,,,Machine Learning,"Python, Azure, Databricks, Azure, Azure, Docker","Computer Science Degree, Mathematics Degree"
data analyst,Data Analyst,Regular,,,,Cataluña,"An innovative startup in Barcelona is seeking a Data Analyst to join their dynamic team. This role offers the opportunity to work with a diverse set of data sources and transform them into actionable business insights. You will collaborate closely with various departments to understand business objectives and utilize statistical techniques to enhance product features. With a focus on A/B testing and predictive algorithms, your contributions will directly impact the company's growth and success. Join a vibrant culture that values teamwork, flexibility, and continuous learning, all while enjoying the perks of a modern office environment.","['Flexible working hours Private health insurance Employee Incentive Securities Plan Daily fruit and beverages supply Daily catering for lunch In-house training and team building events23 days of holidays per year Half day off on your birthday Modern office in city center Friendly company culture', ' Data Analysis S Q L A/B Testing Machine Learning Data Warehousing Predictive Algorithms R or Python Git Statistics Business Intelligence Tools', "" Bachelor's Degree in Mathematics Bachelor's Degree in Statistics Bachelor's Degree in Computer Science"", ' Redshift Google Big Query Mode Tableau Looker']",,,,"Data Analysis, Machine Learning, Business Intelligence","R, Python, Tableau","Bachelor's Degree, Bachelor's Degree, Bachelor's Degree"
lead data analyst analytics,Data Analyst,Lead,,,Marketing,Cataluña,"Join a fast-growing and innovative company that connects pet parents with loving caregivers. As a Lead Analyst, you will play a critical role in shaping the marketing analytics strategy for international markets. This position offers the chance to work with complex datasets, drive business value, and collaborate with cross-functional teams to enhance customer acquisition. With a commitment to fostering a diverse and inclusive environment, this role not only allows you to make a significant impact on the company's growth but also provides opportunities for personal and professional development. If you are passionate about analytics and want to be part of a mission-driven team, this is the perfect opportunity for you.","['Competitive compensation Long-term incentive plan Permanent contract Pension Plan Meal tickets Generous P T O Allowance Private health insurance Discounted Gym Membership Bring your dog to work Flexible work hours', ' S Q L Python R Statistical Analysis A/B Testing Data Processing Communication Skills Mentoring', ' A W S Spark Hive dbt']",,Analytics,,Statistical Analysis,"Python, R",
machine learning engineer,Machine Learning Engineer,Regular,,,,Cataluña,"Join a forward-thinking company as a Machine Learning Engineer, where you will leverage cutting-edge technologies to enhance data analysis accuracy and efficiency. This role involves applying advanced machine learning techniques, particularly deep learning, to solve complex challenges in ultrasound data interpretation. You will be responsible for preparing datasets, developing prototypes, and ensuring quality through rigorous testing. With a competitive salary and a comprehensive benefits package, this innovative firm offers a flexible working environment and opportunities for professional growth. If you are passionate about making an impact in the energy sector through data-driven solutions, this position is perfect for you.","['Health Insurance Pension Plan Gym Flex Eyecare23 days Annual leave Flexible working hours Training and development opportunities Cutting-edge technology exposure International working environment Great company culture', ' Machine Learning Deep Learning Python Tensor Flow Py Torch S Q L Image Recognition Object Detection Data Manipulation Apache Spark', "" Bachelor's Degree in Computer Science Master's Degree in Computer Science Ph D in Computer Science"", ' Git Git Hub']",,,,"Machine Learning, Deep Learning",Python,"Bachelor's Degree, Master's Degree"
material master data specialist,Data Specialist,Senior,,,,Cataluña,"Join a dynamic team as a Material Master Data Specialist in a vibrant multicultural environment in Barcelona. This role offers the chance to support global processes in a leading industrial gas company, where you will manage material master data and collaborate with diverse teams across the globe. Your expertise in SAP and data analysis will be crucial as you ensure compliance with data quality standards and drive process improvements. Embrace the opportunity to grow professionally while contributing to innovative solutions for energy and environmental challenges. This is your chance to make a significant impact in a forward-thinking company.","[' S A P Data Analysis Process Improvement Problem Solving', "" Bachelor's Degree in Business or related field"", ' Service Now Databases']",,,,"Data Analysis, Problem Solving",,Bachelor's Degree
senior data analyst,Data Analyst,Senior,,,,Cataluña,"An innovative mobile growth consultancy is seeking a passionate Senior Data Analyst to join their Growth & Insights team. In this pivotal role, you will analyze data to provide strategic recommendations that drive mobile user acquisition and retention for leading apps. You'll collaborate with talented analysts, mentor team members, and centralize data processes to enhance client service. Enjoy the flexibility of unlimited remote work within your country, a generous personal development budget, and a supportive culture that values diversity and growth. This is your chance to make a significant impact in a fast-paced, dynamic environment while contributing to the success of top-tier apps.","['Unlimited remote work Quarterly bonus scheme Virtual shares Mental health support Yearly personal development budget Flexible working hours30 days paid vacation Pet-friendly office Onboarding package Remote work cash allowance', ' S Q L Python Data Visualization Analytical Skills Mobile Marketing Business Intelligence Platforms Storytelling with Data', "" Bachelor's Degree in a related field"", ' Google Data Studio Tableau Looker Power B I Excel']",,,"remote work, Remote work","Data Visualization, Business Intelligence","Python, Tableau, Excel",Bachelor's Degree
trending now data engineer barcelona barcelona hybrid,Data Engineer,Regular,,,,Cataluña,"Join a forward-thinking company as a Data Engineer, where you'll manage GCP infrastructure and design scalable API features. This hybrid role allows you to work three days a week in the vibrant city of Barcelona, contributing to advanced analytics and machine learning projects. Embrace a culture of diversity and innovation while developing your skills through personalized career paths and a free education program. If you're passionate about technology and eager to make an impact, this opportunity is perfect for you.","['Free education program (Wizeline Academy)Personalized career paths Diversity and inclusion initiatives', ' G C P (Big Query, App Engine, Logging and Monitoring, Airflow / Composer) Scala Python Distributed Systems A P I Management S Q L Airflow']",,,,,Python,
senior data engineer,Data Engineer,Senior,,,,Cataluña,Sin descripción,"['Competitive salary Sponsored learning budget Free private health insurance Free language lessons Relocation package Flexible working hours Hybrid work model29 days of annual vacation Gym discounts Pizza Fridays', ' Data Engineering Python Kafka Apache Spark/Py Spark A W S Terraform Kubernetes Dagster Data Quality Tools Agile Methodologies', "" Bachelor's Degree in Computer Science or related field"", ' Dagster Kafka Terraform Kubernetes A W S S3 Redshift']",,,,,Python,Bachelor's Degree
trending now sql data engineer barcelona barcelona hybrid,Data Engineer,Regular,,,,Cataluña,"An innovative digital services company is seeking a Data Engineer to enhance data validation and analysis processes. In this hybrid role based in vibrant Barcelona, you will design automated solutions, collaborate with experts, and utilize your SQL skills to ensure the accuracy and completeness of financial market data. This position offers a unique opportunity to work in a diverse and inclusive environment while contributing to impactful projects that drive technological advancement. Join a forward-thinking team that values ownership, innovation, and community, and take your career to the next level with personalized growth opportunities.","['Free Education Program Diversity and Inclusion Initiatives Personalized Career Paths Flexible Work Environment', ' S Q L Data Analysis Analytical Skills Communication Skills Agile Practices Team Diversity Appreciation', ' Technical Degree Finance or Business Field', ' Microsoft Excel Google Sheets Git A W S (S3)']",,,,Data Analysis,Excel,
senior data analyst,Data Analyst,Senior,,,,Cataluña,"An innovative digital media company is seeking a Marketing Senior Data Analyst to leverage data for driving marketing strategies and growth initiatives. In this pivotal role, you will collaborate with growth hackers and stakeholders to provide actionable insights, optimize marketing processes, and support evidence-based decision-making. Your expertise in data analysis and machine learning will be crucial in establishing a strong analytics foundation and enhancing marketing effectiveness. This position offers the opportunity to shape data-driven marketing approaches while working in a dynamic, fast-growing environment. If you're passionate about data and marketing, this role is perfect for you!","['Competitive salary Travel opportunities Full support from management Influence key strategies', ' Data-driven growth Marketing analytics Machine learning Statistical modeling Data analysis Collaboration', ' Reforge Growth course certification', ' Advanced analytics tools']",,,,"Machine learning, Data analysis",,
data analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
data engineer data analyst,Data Engineer,Regular,,,,Cataluña,Sin descripción,[],,,,,,
machine learning engineer danone,Machine Learning Engineer,Regular,,,,Cataluña,Sin descripción,[],,,,,,
data engineer english,Data Engineer,Regular,,,,Cataluña,Sin descripción,[],Inglés,,,,,
machine learning engineer 4,Machine Learning Engineer,Regular,,,,Cataluña,Sin descripción,[],,,,,,
data analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,[],,,,,,
data analyst,Data Analyst,Regular,,,,Cataluña,Sin descripción,"['Continuous Learning Opportunities New Mac Book Air Trips to Silicon Valley and Las Vegas Gym Membership Health Insurance Flexible Work Hours Central Barcelona Location', ' Excel S Q L Data Visualization (Tableau) Power Point Google Sheets Analytical Skills Collaboration', ' B.S. in Business Administration Mathematics Statistics Computer Science', ' Tableau Excel S Q L']",,,,Data Visualization,"Excel, Tableau, Tableau, Excel",
data analyst d768,Data Analyst,Regular,,,,Cataluña,"Una empresa innovadora busca un Data Analyst para contribuir a la obtención de insights digitales. En esta emocionante posición, serás responsable de analizar datos, desarrollar informes y asegurar la correcta medición de tráfico y conversiones. Si tienes una sólida formación en marketing digital y experiencia en herramientas de analítica, esta es tu oportunidad de unirte a un equipo dinámico y en crecimiento. La compañía ofrece un contrato indefinido a jornada completa, planes de formación y un atractivo paquete de beneficios sociales. ¡No pierdas la oportunidad de formar parte de este emocionante viaje!","['Contrato indefinido Planes de formación Descuentos en masters y posgrados Beneficios sociales flexibles Seguro médico Tarjeta de transporte Cheque guardería', ' Análisis de datos Google Analytics 4 Looker Studio G T M (Google Tag Manager) Marketing digital Visualización de datos Idiomas: castellano e inglés (B2) C R O herramientas (A/B Tasty, Optimizely)', ' Formación en Marketing digital Martech', ' Looker Studio Google Analytics 4 Power B I Tableau Suite Google Cloud']",,,,,"Google Analytics, R, Google Analytics, Tableau",
data engineer hibrido,Data Engineer,Regular,,,,Cataluña,"Una empresa innovadora en el sector tecnológico busca un Data Engineer para liderar la modernización de procesos ETL y la migración a Azure. En este rol, tendrás la oportunidad de trabajar en un entorno híbrido, colaborando con analistas de datos para optimizar sistemas y mejorar la inteligencia empresarial utilizando Power BI. Ofrecemos un contrato indefinido, formación continua y un plan de carrera en un ecosistema de talento tecnológico. Si te apasiona la tecnología y buscas un entorno dinámico, esta es tu oportunidad para brillar y crecer profesionalmente.","['Formación continua Beneficios sociales Plan de retribución flexible Compensación de gastos de teletrabajo Plan de carrera', ' E T L Azure Data Factory S Q L Server Integration Services (S S I S) Azure S Q L Colaboración']",,,,,"Azure, Azure",
analytics engineer,Other,Regular,,,,Cataluña,"Join a dynamic and innovative company as an Analytics Engineer, where you'll collaborate with cross-functional teams to develop and maintain cutting-edge analytical tools. This role offers the chance to work with advanced data pipelines, utilizing your skills in SQL and Python to solve real business challenges. Enjoy a flexible work environment that encourages creativity and ownership, along with unlimited PTO and various perks to enhance your work-life balance. If you're passionate about data and eager to contribute to a thriving analytics community, this opportunity is perfect for you!","['Unlimited P T O Flexible working hours Breakfast, snacks, and coffee Training and courses Corporate events Hobby benefit Gifts for employees', ' S Q L Python Data Analysis Data Engineering Data Visualization Problem Solving Communication Skills Cloud Platforms (G C P) Airflow D B T', "" Bachelor's degree in S T E M, Economics, Business Analysis"", ' Git Tableau Bash']",,Analytics,,"Data Analysis, Data Visualization, Problem Solving","Python, Tableau",Bachelor's degree
954 data engineer,Data Engineer,Regular,,,,Cataluña,"Una empresa innovadora busca un Data Engineer para unirse a su equipo dinámico en Barcelona. En este rol, tendrás la oportunidad de trabajar con tecnologías avanzadas en la nube de Microsoft Azure, incluyendo Azure Databricks y Azure DataLake, para desarrollar soluciones de datos que impacten en el sector de seguros. La compañía promueve un ambiente de trabajo colaborativo y flexible, donde se valora el crecimiento profesional y el aprendizaje continuo. Si te apasiona la tecnología y deseas enfrentar nuevos retos, esta es tu oportunidad para brillar en un entorno que fomenta la innovación y el desarrollo personal.","['Flexibilidad horaria Programa de desarrollo continuo Plan de retribución flexible Participación en proyectos retadores', ' Microsoft Azure Python Pyspark Spark', ' Azure Databricks Azure Data Ware House Azure Data Lake Power B I']",,,,,"Azure, Python, Pyspark, Azure, Databricks, Azure, Azure",
j917 ct02 data analyst,Data Analyst,Regular,,,Digital,Cataluña,"Una empresa innovadora busca un Digital Data Analyst para un importante proyecto. En esta emocionante posición, serás responsable de definir estrategias de recopilación de datos y convertir esos datos en dashboards informativos que impulsen decisiones basadas en datos. Con un enfoque en la rentabilidad de las campañas online y la colaboración en proyectos web, tendrás la oportunidad de impactar en múltiples áreas. Si tienes entre 2 y 5 años de experiencia en análisis de datos y un sólido conocimiento de herramientas como Google Analytics y Tag Manager, esta es tu oportunidad para brillar en un entorno dinámico y desafiante.",[' Google Analytics Google Tag Manager Marketing Digital Data Analysis e Commerce Power B I Salesforce'],,,,Data Analysis,Google Analytics,
data engineer ranking team m681,Data Engineer,Regular,,,,Cataluña,"Join a forward-thinking company that is revolutionizing ecommerce through AI-driven product discovery. As a senior engineer on the Ranking team, you will play a crucial role in designing and optimizing a high-load distributed ranking platform that powers some of the largest ecommerce sites globally. You will work with cutting-edge technologies, collaborate with a talented cross-functional team, and have the opportunity to drive significant improvements in user experience and business outcomes. This role offers a chance to innovate and make a meaningful impact in a fully remote environment, where your contributions will be valued and recognized.","['Stock options Work from home stipend Apple laptops provided Training and development budget Parental leave', ' Python programming Big data engineering Web services Cloud providers (A W S) Data pipeline orchestration Performance optimization Real-time data processing Monitoring and alerting tools', "" Bachelor's degree in Computer Science or related field"", ' Apache Spark Airflow Prometheus Grafana Datadog']",,,,,Python,Bachelor's degree
data analyst,Data Analyst,Regular,,,,Cataluña,"Una empresa innovadora en dermo-cosmética busca un/a Data Analyst motivado y detallista. En este rol, serás responsable de la recopilación y análisis de datos clave que impulsan decisiones estratégicas en diversas áreas. Colaborarás con equipos interdepartamentales y contribuirás a la optimización de procesos. Con un fuerte enfoque en la sostenibilidad y la innovación, tendrás la oportunidad de trabajar en un entorno dinámico y joven, donde tu impacto será significativo. Si te apasiona el análisis de datos y quieres formar parte de un equipo que valora la autonomía y el crecimiento, esta es tu oportunidad.","['Flexibilidad laboral Recursos y herramientas para el trabajo Mutua médica privada Descuentos de empleado Plan de formación Oportunidades de desarrollo Entorno dinámico', ' Análisis de Datos S Q L Python R Power B I Tableau Comunicación Proactividad Atención al detalle', ' Diploma universitario en Estadística, Matemáticas, Informática o campos afines Máster en Data Analytics', ' Herramientas de análisis de datos Dashboards']",,,,,"Python, R, Tableau",
data analyst,Data Analyst,Regular,,,,Cataluña,"Una empresa multinacional líder en equipamiento del hogar busca un Analista Ecommerce para unirse a su equipo dinámico. En esta emocionante posición, serás responsable de definir dashboards y realizar análisis de datos que guiarán decisiones estratégicas para el crecimiento del ecommerce. La compañía valora el talento y la proactividad, ofreciendo la oportunidad de contribuir a un proyecto en expansión y de asumir mayores responsabilidades en el futuro. Si tienes una sólida experiencia en análisis de datos y estás listo para un desafío en un entorno colaborativo, esta es tu oportunidad de brillar.",[' Google Analytics Google Tag Manager Google Data Studio C R O U X Análisis de datos Trabajo en equipo Inglés (mínimo B2) S E O Marketing online'],,,,,"Google Analytics, R",
data engineer,Data Engineer,Regular,,,,Cataluña,"Una empresa tecnológica pionera en el sector asegurador busca un Data Engineer altamente cualificado y motivado para unirse a su equipo. Este rol es fundamental para mejorar y operar la capa de datos de una plataforma global personalizada, alineada con la Estrategia de Datos. Se requiere dominio en bases de datos y pipelines de datos, así como experiencia en lenguajes de programación como Python. Si te apasiona la tecnología y deseas formar parte de un entorno dinámico, esta es tu oportunidad para crecer profesionalmente y contribuir a proyectos innovadores.","[' S Q L Azure Synapse Azure Data Factory Apache Spark Python Java Script/Typescript Git/Github Docker Kubernetes', ' Grado en Ciencias de la Computación Máster en Tecnologías de la Información', ' Git Docker Kubernetes']",,,,,"Azure, Azure, Python, Github, Docker, Docker",Grado
data engineer modelado data vault,Data Engineer,Regular,,,,Cataluña,"Una firma innovadora busca un Data Engineer apasionado por modelar datos y con experiencia en Data Vault. Esta es una oportunidad emocionante para colaborar con expertos en el campo y contribuir al diseño de modelos lógicos y físicos. Si tienes más de un año de experiencia en Data Vault, dominio de SQL y conocimientos en herramientas como DBT y Airflow, esta posición es perfecta para ti. Únete a un entorno dinámico donde tu proactividad será valorada y tendrás la oportunidad de crecer profesionalmente. ¡Transforma el mundo de los datos y postúlate ahora!",[' Data Vault S Q L Oracle Postgre S Q L Snowflake D B T Airflow Power B I'],,,,,Snowflake,
data analyst proyecto estable hibrido,Data Analyst,Regular,,,,Cataluña,"Una innovadora firma busca un analista de datos para un proyecto estable en un entorno híbrido. Este rol implica la modernización de procesos ETL, migrando desde un sistema on-premise hacia Azure Data Factory, y el análisis de datos para identificar mejoras. Además, se trabajará en la plataforma de inteligencia empresarial utilizando Power BI, contribuyendo al diseño de soluciones adaptadas a las necesidades organizacionales. Ofrecemos un entorno colaborativo y oportunidades de desarrollo continuo en un ecosistema de talento tecnológico. Si te apasiona el análisis de datos y la optimización de procesos, esta es tu oportunidad.","['Formación continua Beneficios sociales Plan de retribución flexible Compensación de gastos de teletrabajo Plan de carrera', ' Análisis de datos E T L Power B I Azure Data Factory S Q L Server Integration Services (S S I S) Colaboración', ' Azure S Q L Microsoft B I Stack']",,,,,"Azure, Azure",
c global data analyst pagegroup ssc,Data Analyst,Regular,,,,Cataluña,"Una empresa innovadora busca un miembro para su equipo de Order to Cash, donde tendrás la oportunidad de crecer y desafiarte en un entorno multicultural. En esta posición, serás responsable de desarrollar KPIs y reportes, mejorar procesos existentes y diseñar representaciones gráficas de datos. Con un enfoque en el análisis y la resolución de problemas, trabajarás en un equipo que valora la comunicación y la colaboración. Si te apasionan los números y buscas un entorno dinámico, esta es la oportunidad ideal para ti.","['Paquete de compensación competitivo Experiencia en un entorno multinacional', ' Inglés fluido Excel Power B I Análisis de datos Resolución de problemas Comunicación', ' Power B I Excel']",,,,,"Excel, Excel",
m833 enterprise specialist data ai portuguese speaker,Data Specialist,Regular,,,Digital,Cataluña,"Join a forward-thinking organization that empowers customers through innovative cloud solutions. As an Enterprise Digital Specialist, you'll play a pivotal role in driving digital transformation for key clients, leveraging your expertise in cloud technology sales and account management. Collaborate with a diverse team to engage customers, deliver exceptional service, and drive satisfaction through cutting-edge digital solutions. This is a unique opportunity to work within a culture that values inclusion, growth, and innovation, making a real impact in the digital landscape. If you're passionate about technology and customer success, this role is tailored for you.","['Work from Home Flexibility Health Insurance Retirement Plan Professional Development Opportunities Paid Time Off Diversity and Inclusion Programs', ' Cloud Technology Sales Account Management Digital Engagement Data Science Machine Learning S Q L Databases Azure Solutions Customer Engagement Technical Demonstrations', "" Bachelor's Degree in Information Technology Bachelor's Degree in Business Administration"", ' Power B I Tableau Azure Data Bricks Python']",,,,"Data Science, Machine Learning","Azure, Tableau, Azure, Python","Bachelor's Degree, Bachelor's Degree"
data analyst k220,Data Analyst,Regular,,,,Cataluña,"Join a forward-thinking company as a Data Analyst in Platform Intelligence, where your insights will shape the future of product development. Collaborate with diverse teams to enhance algorithms that drive financial performance and optimize delivery. This role offers the opportunity to create impactful visualizations and reports, ensuring that complex data stories are communicated effectively to stakeholders. If you're passionate about using data to drive innovation and thrive in a collaborative environment, this is the perfect opportunity to make a significant impact in a pioneering industry leader.","[' Pricing Analytics Marketing Analytics Behavioral Analytics S Q L Python R Data Visualization B I Tools Communication Skills Analytical Techniques', ' Statistical Computing Languages Reporting Tools Business Intelligence Tools']",,,,"Data Visualization, Reporting, Business Intelligence","Python, R",
data analyst,Data Analyst,Regular,,,,Cataluña,"An innovative AdTech company is seeking a talented Data Analyst to join their dynamic team. In this role, you will dive deep into complex datasets, uncovering trends and insights that will drive key business decisions. Your expertise in tools like Power BI and Looker Studio will allow you to create compelling visualizations that effectively communicate findings to stakeholders. As part of a fast-growing firm recognized for its significant impact in the advertising space, you'll have the opportunity to work closely with various business units, ensuring data accuracy and reliability while staying ahead of the latest analytical tools and techniques. If you're passionate about data and eager to make a difference, this is the perfect opportunity for you.","[' Data Analysis Power B I Data Visualization Statistical Analysis Data Cleaning Dashboard Development', "" Bachelor's Degree in Data Science or related field Master's Degree in Data Analytics"", ' Power B I Looker Studio Data Studio']",,,,"Data Analysis, Data Visualization, Statistical Analysis, Data Science",,"Bachelor's Degree, Master's Degree"
prácticas data analyst,Data Analyst,Regular,,,,Cataluña,"Una empresa consolidada en el sector busca un/a estudiante en prácticas para unirse a su equipo de Análisis de Datos. Esta es una oportunidad emocionante para aprender y crecer profesionalmente en un entorno dinámico y colaborativo. Bajo la supervisión del Data Analyst Manager, participarás en la actualización de Dashboards, soporte en la obtención de datos y análisis de KPIs. Si tienes pasión por el análisis de datos y deseas desarrollar tus habilidades en un equipo experto, esta beca remunerada es perfecta para ti. ¡No pierdas la oportunidad de iniciar tu carrera en un lugar que valora tu crecimiento personal y profesional!","['Beca remunerada Jornada flexible Oportunidades de crecimiento Aprendizaje en equipo dinámico', ' Excel avanzado Power B I S Q L Python Capacidad analítica Gestión del tiempo Colaboración en equipo Autonomía Proactividad Pasión por el Análisis de Datos', ' Estudios universitarios en Ingeniería, Matemáticas o Estadística Nivel alto de inglés (C1) Nivel medio de español', ' Power B I Excel S Q L Python']",,,,,"Excel, Python, Excel, Python",
data engineer hibrido,Data Engineer,Regular,,,,Cataluña,"Una empresa innovadora en el sector aeronáutico busca un Data Engineer para unirse a su equipo dinámico. Con un enfoque en el desarrollo de ETL y el uso de tecnologías avanzadas como Python y SQL, tendrás la oportunidad de trabajar en proyectos estratégicos de larga duración. Ofrecemos un entorno de trabajo híbrido, donde la flexibilidad y la estabilidad laboral son prioridades. Además, tendrás acceso a formación continua y la posibilidad de participar en proyectos internacionales. Si te apasiona la tecnología y deseas crecer en tu carrera, esta es tu oportunidad.","['Contrato indefinido Estabilidad laboral Jornada flexible Team Buildings Retribución flexible Seguro médico Acceso a plataformas de formación Proyectos internacionales Desarrollo de carrera real', ' S Q L Python Cloud A W S Airflow Docker Kubernetes A P I Rest']",,,,,"Python, Docker",
senior ml data engineer,Data Engineer,Senior,,,,Cataluña,"Join a forward-thinking organization as a Data Engineer, where your expertise will shape the future of data solutions. This exciting role involves designing and maintaining data pipelines that empower decision-making through seamless data integration. Collaborate with a talented team to automate processes and enhance data quality while leveraging cutting-edge technologies in a dynamic environment. With a commitment to innovation, this company offers a unique opportunity to drive impactful projects and contribute to the evolution of data engineering. If you are passionate about data and eager to make a difference, this position is for you!","['Comprehensive Insurance Plans Paid Time Off Family Care Benefits Access to Dow Jones Products Subscription Discounts Employee Referral Program Well-being Support Fitness Programs', ' Data Engineering E T L Processes A P Is S Q L No S Q L Machine Learning Cloud Services (A W S, G C P) Data Pipeline Automation N L P Frameworks Docker', "" Bachelor's Degree in Computer Science Master's Degree in Data Science"", ' Airflow G C P Cloud Composer Jenkins Docker']",,,,"Machine Learning, Data Science","Docker, Docker","Bachelor's Degree, Master's Degree"
data analyst engineer,Data Analyst,Regular,,,,Cataluña,"Una empresa logística internacional en constante crecimiento busca un DATA ANALYST ENGINEER para unirse a su equipo en Barcelona. Este rol clave implica analizar datos en bruto y construir pipelines para transformar información de diversas fuentes en datos útiles y confiables. Con un enfoque en la mejora continua y la toma de decisiones basadas en datos, tendrás la oportunidad de trabajar con herramientas de vanguardia como Power BI y Python. Si te apasiona el análisis de datos y deseas formar parte de un equipo comprometido con la innovación y la calidad, esta es tu oportunidad para brillar en un entorno dinámico y colaborativo.","[' Análisis de datos Python S Q L Power B I Gestión de datos no estructurados Automatización de procesos Metodología S C R U M Presentación de datos', ' Ciclo formativo superior en informática Ingeniería industrial Ingeniería informática', ' Microsoft Office Business Intelligence Databricks']",,,,Business Intelligence,"Python, R, Databricks",
product data analyst,Data Analyst,Regular,,,,Cataluña,"Una innovadora startup busca un Product Data Analyst apasionado por el análisis de datos y la mejora continua de su producto Food Radar. Este rol clave implica encontrar y validar nuevos KPIs utilizando IA, optimizar funcionalidades mediante análisis de usuarios y colaborar con equipos multidisciplinarios. Con un enfoque en la inteligencia artificial y el procesamiento de lenguaje natural, esta empresa ha sido reconocida por su innovación en el sector Food Service. Si deseas ser parte de un equipo dinámico que transforma datos en decisiones estratégicas, esta es tu oportunidad.","[' Análisis de Datos Inteligencia Artificial Natural Language Processing Deep Learning Gestión de K P Is', ' Licenciatura en Estadística, Matemáticas o campo relacionado Máster en Análisis de Datos o Inteligencia Artificial', ' Herramientas de visualización de datos (ej. Tableau, Power B I) Lenguajes de programación (ej. Python, R)']",,,,Deep Learning,"Tableau, Python, R",Licenciatura
riskdata analyst análisis sectorial y seguimiento de grandes riesgos eyt44,Data Analyst,Regular,,,,Cataluña,"Una innovadora entidad financiera busca profesionales apasionados por el análisis de riesgos y la gestión de carteras. Este puesto clave implica evaluar y gestionar los riesgos asociados a clientes y segmentos específicos, utilizando herramientas avanzadas y metodologías precisas. Con un enfoque en la formación continua y el desarrollo profesional, la oportunidad de contribuir al crecimiento sostenible del sector financiero está al alcance. Si tienes una sólida formación en matemáticas o ingeniería y te entusiasma trabajar en un entorno dinámico, esta es tu oportunidad para brillar en un líder del mercado europeo.","['Seguro de salud Plan de pensiones Ayuda de estudios Condiciones financieras preferentes Retribución flexible Medidas de flexibilidad', ' Análisis de carteras Presentaciones a alto nivel Extracción de datos Normativa y regulación bancaria Riesgo de crédito Excel Power Point Qlik Sense S A S Enterprise Guide', ' Titulación superior en matemáticas Titulación superior en ingeniería informática Titulación superior en ciencias económicas M B A F R M', ' S A S Enterprise Guide Qlik Sense Office Suite']",,,,,"Excel, R",
